id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,zip_code,school_type,school_level
100001600143,0.019937269610672492,-0.12425410845251605,-0.2890385693039711,42820.0,20.4334554334554,-0.3522901885222184,2016-2017,DE,19804,Regular School,High
100008000024,-0.03404070826844141,0.09322746536717896,0.1320857160265999,89320.0,19.4981684981685,-0.3067794189869746,2016-2017,DE,19709,Regular School,High
100008000225,-0.041565203804870006,0.13232727945921996,0.07755708676112794,84140.0,19.5543345543346,-0.32237548261294857,2016-2017,DE,19709,Regular School,High
100017000029,-0.053286696562203605,0.12252491647517894,0.005749233537811982,56500.0,17.7374847374847,-0.1222313475574896,2016-2017,DE,19958,Regular School,High
100018000040,-0.021011675419297604,0.07052311364341401,0.19886837780926092,54015.0,18.2454212454212,-0.15655045804312356,2016-2017,DE,19934,Regular School,High
100019000050,-0.017905016606857907,0.10395484832980795,-0.15219999825911507,50649.0,17.034188034188,0.005926327555379418,2016-2017,DE,19904,Regular School,High
100020000238,-0.02296746015670921,0.18121362343031,,12825.0,18.3870573870574,-0.08026325610784857,2016-2017,DE,19711,Regular School,High
100020000239,-0.02260076047314441,0.04706814329446396,-0.04008791967014402,59861.0,15.5445665445665,-0.04707524792578155,2016-2017,DE,19702,Regular School,High
100020000240,0.016175986554689492,0.024683221866795946,0.03652549193696397,62078.0,14.980463980464,-0.0663906434568316,2016-2017,DE,19713,Regular School,High
100023000209,-0.058094641321707906,-0.02908069578517103,0.2052770880891729,61031.0,15.1050061050061,-0.06025241087324257,2016-2017,DE,19720,Regular School,High
100027000080,-0.005175147224830506,-0.016613009389073063,-0.20238189912314408,55347.0,17.8522588522588,-0.24771723799856357,2016-2017,DE,19940,Regular School,High
100068000085,0.0096849929716325,-0.10405040165672402,-0.12180500789302606,46644.0,18.008547008547,-0.1147959925773186,2016-2017,DE,19945,Regular School,High
100068000090,-0.04471256747767761,-0.15386525710311605,-0.017206638365356075,59500.0,16.0720390720391,0.02787680693587241,2016-2017,DE,19947,Regular School,High
100079000095,0.04154263875858448,-0.03705576416815104,-0.12654301347349906,40625.0,17.1782661782662,-0.029303956523484553,2016-2017,DE,19943,Regular School,High
100081000100,-0.019267570698672312,-0.13831036152118403,-0.17248791752299109,39428.0,16.1648351648352,0.04636163893521944,2016-2017,DE,19956,Regular School,High
100108000111,-0.00484838102986801,-0.26598683146245305,0.05430624060006495,37917.0,17.2905982905983,-0.06456814606729855,2016-2017,DE,19963,Regular School,High
100124000242,-0.03629680181553511,0.28666812327621793,0.32525098213304193,105708.0,17.969474969475,-0.11974408316076757,2016-2017,DE,19803,Regular School,High
100124000246,-0.06410635980882011,0.21893583762311197,0.05689569048957088,102383.0,18.3137973137973,-0.13527686829075158,2016-2017,DE,19809,Regular School,High
100124000247,-0.032257002807182605,0.14952169620897093,0.0748491820687539,86429.0,18.970695970696,-0.2535865014315216,2016-2017,DE,19810,Regular School,High
100130000270,0.024718485433205498,-0.07718461457462905,0.1208019510586239,60000.0,19.1831501831502,-0.27348474528168254,2016-2017,DE,19804,Regular School,Other
100130000274,-0.016004199501935407,0.257208590729625,0.027747918407551975,95065.0,15.5714285714286,0.02868927358836043,2016-2017,DE,19808,Regular School,High
100130000275,-0.06154343775682371,0.19411592453820992,0.08033792256959393,72469.0,16.3748473748474,-0.0008909433781515985,2016-2017,DE,19808,Regular School,Other
100130000276,-0.06998781369969341,0.2423560765630539,0.20009763341285391,151750.0,18.7704517704518,-0.11648889427021958,2016-2017,DE,19807,Regular School,High
